Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-73.79174966999994 40.72578303100005),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,St. John's Way,,At the intersection of Union Turnpike and Utopia Parkway,11366,Gennaro,This co-naming will commemorate the 150th Anniversary of St. John's the University.,
POINT (-73.97193231699998 40.645160762000046),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,Tyler Kobe Nichols Way,,At the intersection of East 8th Street and Turner Place,11218,Joseph,"Tyler Kobe Nichols was killed when he was stabbed three times while trying to defend his brother from attackers. In the aftermath of his death, the family founded the Long Live King Kobe foundation to combat street violence through peaceful initiatives,",
POINT (-74.12485446499994 40.63178147900004),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Staten Island,Joseph Russo Way,,At the northeast corner of Clove Road and Cary Avenue underneath the Cary Avenue street sign,10310,Rose,"Joseph Russo was a business owner who was born and raised in Spinoso, Italy, where he went to school to be a mechanic.  He immigrated to the United States in 1961 with a vision of becoming a successful entrepreneur.  He worked for service stations for 10",
POINT (-73.93347284499998 40.67341116500006),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Brooklyn,Elsie Richardson Way,,At the intersection of Prospect Place and Schenectady Avenue,11213,Ossé,"Elsie Richardson was an integral contributor in creating the first federally supported model of community development and the first non-profit Community Development Corporation in the nation, the Bedford Stuyvesant Restoration Corporation. She served as",
POINT (-74.03459997599998 40.62200001900004),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Justice Arthur M. Schack Way,,At the intersection of Ridge Boulevard and 89th Street,11209,Brannan,Arthur Schack was known as a “champion for the little guy” in foreclosure cases. He was a former teacher at Bay Ridge High School and a Troop 20 leader who later became a judge when he was elected to the Kings County Criminal Court. He served as lega,
POINT (-73.95342719499996 40.65923066700003),Int. No. 1613,06/24/2017,2017,2017/110,Intersection,Brooklyn,Lenore G. Briggs Way,,At the intersection of Rutland Road and Rogers Avenue,11225,Eugene,"Lenore G. Briggs founded the Lefferts Gardens Montessori School.  She immigrated to New York City in 1965 and in 1973, she opened a home daycare center which grew into a preschool and kindergarten called Mom’s Center for Early Childhood Development Inc",
POINT (-73.90558454599994 40.745445043000075),Int. No. 613,05/09/2005,2005,2005/043,Intersection,Queens,Frank Carvill Place,,Intersection of Woodside Avenue and 59th Street,11377,Gioia and Comrie,"Frank Carvill was an immigrant rights campaigner who was killed on National Guard duty in Iraq.  Carvill was a founding member of the Irish Immigration Reform and also a founding member of the Emerald Isle Immigration Center, where he was later its treas",
POINT (-74.10945472999998 40.62648843000005),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Staten Island,Coach John Tobin Corner,,At the northwest corner of Oakland Avenue and Nutly Place,10310,Rose,"John Tobin was an athlete, coach, and administrator, who was also considered to be one of the founders of modern interscholastic track on Staten Island. He was a Staten Island Sports Hall of Famer, Advance Service Award recipient, founding president of B",
POINT (-74.08109724199994 40.61769428300005),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,Rev. Hattie Smith-Davis Place,,the southeast corner of the intersection of Osgood Avenue and Vanderbilt Avenue,10304,McMahon,"Reverend Hattie Smith-Davis, a retired nurse, volunteered tirelessly in Staten Island for a number of different agencies and causes. She could be found on any given day baking cakes for fund-raisers, fighting for the rights of neighbors as President of t",
POINT (-73.96505172099995 40.576956444000075),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Brooklyn,Sofia Vinokurov & Mark Rakhman Place,,At the northeast corner of Brighton Beach Avenue and Brighton 2nd Street,11235,Deutsch,"Sofia Vinokurov and Mark Rakhman where siblings who immigrated to America from Odessa, Ukraine in the early 1970’s. As early Jewish Immigrants from the former Soviet Union, they planted the necessary seeds in the Brighton Beach Brooklyn neighborhood to",
